"","pCO2_level","Food_supply","pHXfood","N","Salinity","Temperature","DO","pH","pCO2","TA","Aragonite.Sat","Calcite.Sat"
"1","High","High","7.5*High",21,"25.9± 0.174","21.1 ± 0.195","9.38 ± 0.0308","7.68 ± 0.0111","878 ± 24.1","1820 ± 7.6","0.989 ± 0.0267","1.56 ± 0.0408"
"2","High","Low","7.5*Low",16,"25.7± 0.182","20.8 ± 0.318","9.06 ± 0.0697","7.74 ± 0.0135","749 ± 24.7","1810 ± 10.8","1.1 ± 0.0292","1.73 ± 0.0455"
"3","Low","High","8*High",21,"25.9± 0.173","21.1 ± 0.198","9.41 ± 0.0285","7.82 ± 0.00863","613 ± 13.1","1820 ± 7.31","1.32 ± 0.0254","2.08 ± 0.0388"
"4","Low","Low","8*Low",16,"25.7± 0.2","20.7 ± 0.323","9.11 ± 0.058","7.86 ± 0.00856","552 ± 10.9","1820 ± 10.4","1.39 ± 0.0319","2.19 ± 0.0489"
