"","pCO2_level","Food_supply","N","Salinity","Temperature","TA","TCO2","pH_Chosen.scale","CO2SYS_calc","pH_out","fCO2_matm","pCO2_matm","HCO3_mmol.kgSW","CO3_mmol.kgSW","CO2_mmol.kgSW","B_Alk_mmol.kgSW","OH_mmol.kgSW","Revelle","Calcite.Sat","Aragonite.Sat","xCO2_ppm"
"1","Elevated","High",8,"26.1± 0.254","21.2± 0.406","1830± 14.7","1760± 14","7.7± 0.0177","DIC.pH","7.68± 0.0181","867± 40.4","870± 40.5","1670± 13.5","62.1± 2.67","28.5± 1.3","29.1± 1.26","1.8± 0.102","16.5± 0.26","1.58± 0.0676","1.01± 0.0444","892± 41.7"
"2","Low","High",8,"26.1± 0.26","21.2± 0.396","1830± 13.4","1730± 13.3","7.83± 0.00936","DIC.pH","7.81± 0.0134","624± 20.7","626± 20.7","1630± 11.8","81.8± 2.24","20.5± 0.512","38± 1.03","2.41± 0.0601","14.7± 0.166","2.09± 0.0542","1.32± 0.0355","642± 21.6"
"3","Elevated","Low",9,"26± 0.258","21.3± 0.495","1830± 14.6","1740± 10.4","7.76± 0.0193","DIC.pH","7.74± 0.0175","755± 31.4","757± 31.5","1650± 7.66","69.5± 2.52","24.7± 0.909","32.6± 1.2","2.03± 0.0727","15.7± 0.226","1.77± 0.0623","1.13± 0.0397","776± 32.5"
"4","Low","Low",7,"26± 0.286","21.3± 0.506","1820± 18","1710± 11.8","7.89± 0.018","DIC.pH","7.87± 0.017","536± 21.5","538± 21.6","1600± 10.8","92± 4.55","17.6± 0.722","42.6± 2","2.78± 0.181","13.8± 0.326","2.35± 0.115","1.49± 0.0756","552± 22.2"
