"","pCO2_level","N","Salinity","Temperature","pH","pCO2","TA","TCO2","Aragonite.Sat","Calcite.Sat"
"1","Ambient",22,"26.5± 0.132","20 ± 0.048","7.85 ± 0.0134","584 ± 19.3","1870 ± 8.99","1750 ± 7.28","1.47 ± 0.052","2.3 ± 0.0796"
"2","High",12,"26.5± 0.117","20.1 ± 0.0604","7.44 ± 0.0102","1630 ± 40.2","1870 ± 23.6","1870 ± 9.36","0.607 ± 0.0129","0.955 ± 0.0194"
"3","Mid",22,"26.5± 0.132","19.9 ± 0.0523","7.69 ± 0.0135","871 ± 31.3","1870 ± 8.81","1800 ± 8.03","1.06 ± 0.0297","1.67 ± 0.0457"
