"","pCO2_level","Food_supply","N","Salinity","Temperature","TA","TCO2","pH_Chosen.scale","CO2SYS_calc","pH_out","fCO2_matm","pCO2_matm","HCO3_mmol.kgSW","CO3_mmol.kgSW","CO2_mmol.kgSW","B_Alk_mmol.kgSW","OH_mmol.kgSW","Revelle","Calcite.Sat","Aragonite.Sat","xCO2_ppm"
"1","Elevated","High",8,"26.1± 0.254","21.2± 0.406","1830± 14.7","1760± 14","7.7± 0.0177","TA.DIC","7.71± 0.0264","826± 59","829± 59.2","1670± 14.1","66.4± 3.26","27.1± 1.85","30.9± 1.57","1.92± 0.107","16.1± 0.279","1.7± 0.0823","1.08± 0.0525","850± 60.9"
"2","Low","High",8,"26.1± 0.26","21.2± 0.396","1830± 13.4","1730± 13.3","7.83± 0.00936","TA.DIC","7.8± 0.0376","663± 70.2","665± 70.4","1630± 14.1","80.5± 5","21.7± 2.22","37.4± 2.26","2.37± 0.142","14.8± 0.414","2.05± 0.127","1.3± 0.08","682± 72.4"
"3","Elevated","Low",7,"26± 0.258","21.3± 0.495","1830± 14.6","1740± 10.4","7.76± 0.0193","TA.DIC","7.78± 0.0283","684± 49.3","686± 49.4","1640± 9.5","76.6± 4.45","22.4± 1.46","35.6± 2.04","2.25± 0.128","15.2± 0.376","1.95± 0.11","1.24± 0.0711","704± 51.1"
"4","Low","Low",7,"26± 0.286","21.3± 0.506","1820± 18","1710± 11.8","7.89± 0.018","TA.DIC","7.83± 0.0537","629± 91.7","631± 92","1600± 12.8","85± 8.1","20.5± 2.76","39.6± 3.64","2.55± 0.23","14.4± 0.649","2.17± 0.205","1.38± 0.13","647± 94.8"
