"","pCO2_level","Food_supply","N","Salinity","Temperature","TA","TCO2","pH_Chosen.scale","CO2SYS_calc","pH_out","fCO2_matm","pCO2_matm","HCO3_mmol.kgSW","CO3_mmol.kgSW","CO2_mmol.kgSW","B_Alk_mmol.kgSW","OH_mmol.kgSW","Revelle","Calcite.Sat","Aragonite.Sat","xCO2_ppm"
"1","Elevated","High",8,"26.1± 0.254","21.2± 0.406","1830± 14.7","1760± 14","7.7± 0.0177","TA.pH","7.68± 0.0181","871± 39.6","874± 39.8","1680± 13","62.4± 2.69","28.6± 1.28","29.1± 1.26","1.8± 0.102","16.5± 0.259","1.59± 0.0679","1.01± 0.0443","896± 40.9"
"2","Low","High",8,"26.1± 0.26","21.2± 0.396","1830± 13.4","1730± 13.3","7.83± 0.00936","TA.pH","7.81± 0.0134","623± 21","625± 21.1","1630± 10.5","81.6± 2.06","20.4± 0.539","38± 1.03","2.41± 0.0601","14.7± 0.175","2.08± 0.0493","1.32± 0.0322","641± 21.9"
"3","Elevated","Low",7,"26± 0.258","21.3± 0.495","1830± 14.6","1740± 10.4","7.76± 0.0193","TA.pH","7.74± 0.0227","754± 40.6","757± 40.8","1650± 10.3","70.1± 3.34","24.7± 1.17","32.6± 1.57","2.03± 0.0942","15.8± 0.293","1.79± 0.0828","1.13± 0.0529","776± 42.2"
"4","Low","Low",7,"26± 0.286","21.3± 0.506","1820± 18","1710± 11.8","7.89± 0.018","TA.pH","7.87± 0.017","533± 24.2","535± 24.2","1590± 20.5","91.1± 3.74","17.5± 0.842","42.6± 2","2.78± 0.181","13.8± 0.352","2.33± 0.0928","1.48± 0.0608","549± 24.9"
