Date_sampled,pH,Tank_Replicate,pH_Replicate,Shell_length_mm,New_tin_ID,Shell_Tin_ID,Shell_Tin_Weight_g,Dry_Shell_Tin_Weight_g,Dry_Shell_weight_g,Tissue_Tin_ID,Tissue_Tin_Weight_g,Dry_Tissue_Tin_Weight_g,Dry_Tissue_weight_g,Whole_animal_dry_weight_g,Condition_index_drywtRatio_Walne1976,Ash_weight_g,AFDW_g,Condition_index_ADFW_div_length,notes
12/2/2021,8,A,8_A,20.2,32,4C8,1.2713,1.7561,0.4848,4C8,0.4157,0.4797,0.064,0.5488,3.644439383,0.9226,0.0419,2.074257426,
12/2/2021,8,A,8_A,15,33,4C9,1.2677,1.4725,0.2048,4C9,0.4105,0.4392,0.0287,0.2335,1.949066214,0.625,0.019,1.266666667,
12/2/2021,8,A,8_A,10.2,34,4C10,1.287,1.355,0.068,4C10,0.4133,0.4227,0.0094,0.0774,0.693726937,0.4834,0.0073,0.715686275,
12/2/2021,8,A,8_A,10.9,35,4C11,1.2904,1.365,0.0746,4C11,0.4162,0.4267,0.0105,0.0851,0.769230769,0.4914,0.0099,0.908256881,
12/2/2021,8,A,8_A,10.9,36,4C12,1.2652,1.3334,0.0682,4C12,0.4177,0.428,0.0103,0.0785,0.772461377,0.4911,0.0051,0.467889908,
12/2/2021,8,A,8_A,12.3,37,5A1,1.1803,1.3144,0.1341,5A1,0.414,0.4303,0.0163,0.1504,1.240109556,0.5543,0.0101,0.821138211,
12/2/2021,8,A,8_A,5.4,38,5A2,1.2752,1.2856,0.0104,5A2,0.4105,0.4116,0.0011,0.0115,0.085563161,0.4211,0.0009,0.166666667,
12/2/2021,8,A,8_A,5.8,39,5A3,1.2735,1.2849,0.0114,5A3,0.4136,0.4142,0.0006,0.012,0.046696241,0.4248,0.0008,0.137931034,
12/2/2021,8,A,8_A,3.9,40,5A4,1.2706,1.275,0.0044,5A4,0.4126,0.4127,1.00E-04,0.0045,0.007843137,0.4171,0,0,
12/2/2021,7.5,A,7.5_A,21.7,41,5A5,1.2718,1.8687,0.5969,5A5,0.4127,0.4931,0.0804,0.6773,4.302456253,NA,#VALUE!,#VALUE!,
12/2/2021,7.5,A,7.5_A,21.3,42,5A6,1.2524,1.7901,0.5377,5A6,0.4173,0.4981,0.0808,0.6185,4.513714318,NA,#VALUE!,#VALUE!,
12/2/2021,7.5,A,7.5_A,19.1,43,5A7,1.2843,1.6764,0.3921,5A7,0.4174,0.4727,0.0553,0.4474,3.298735385,NA,#VALUE!,#VALUE!,
12/2/2021,7.5,A,7.5_A,12.2,44,5A8,1.2848,1.3967,0.1119,5A8,0.4119,0.4252,0.0133,0.1252,0.952244577,NA,#VALUE!,#VALUE!,
12/2/2021,7.5,A,7.5_A,12.9,45,5A9,1.2706,1.3683,0.0977,5A9,0.417,0.4316,0.0146,0.1123,1.067017467,NA,#VALUE!,#VALUE!,
12/2/2021,7.5,A,7.5_A,11.9,46,5A10,1.282,1.3792,0.0972,5A10,0.416,0.4293,0.0133,0.1105,0.964327146,NA,#VALUE!,#VALUE!,
12/2/2021,7.5,A,7.5_A,11.9,47,5A11,1.2697,1.3624,0.0927,5A11,0.4125,0.4265,0.014,0.1067,1.027598356,NA,#VALUE!,#VALUE!,
12/2/2021,7.5,A,7.5_A,5.7,48,5A12,1.2754,1.2824,0.007,5A12,0.4172,0.4173,1.00E-04,0.0071,0.007797879,NA,#VALUE!,#VALUE!,
12/2/2021,7.5,A,7.5_A,5.7,49,5B1,1.2515,1.26,0.0085,5B1,0.4148,0.4159,0.0011,0.0096,0.087301587,NA,#VALUE!,#VALUE!,
12/2/2021,7.5,A,7.5_A,5.6,50,5B2,1.2535,1.2605,0.007,5B2,0.4126,0.4143,0.0017,0.0087,0.134867116,NA,#VALUE!,#VALUE!,
12/2/2021,7.5,D,7.5_D,20.8,51,5B3,1.2623,1.8023,0.54,5B3,0.4149,0.4821,0.0672,0.6072,3.728569051,NA,#VALUE!,#VALUE!,
12/2/2021,7.5,D,7.5_D,18.9,52,5B4,1.2761,1.607,0.3309,5B4,0.4155,0.4649,0.0494,0.3803,3.074051027,NA,#VALUE!,#VALUE!,
12/2/2021,7.5,D,7.5_D,17.2,53,5B5,1.2661,1.5631,0.297,5B5,0.4222,0.4549,0.0327,0.3297,2.091996673,NA,#VALUE!,#VALUE!,
12/2/2021,7.5,D,7.5_D,11.1,54,5B6,1.2715,1.3506,0.0791,5B6,0.4126,0.4222,0.0096,0.0887,0.710795202,NA,#VALUE!,#VALUE!,
12/2/2021,7.5,D,7.5_D,12.1,55,5B7,1.2713,1.366,0.0947,5B7,0.4093,0.4232,0.0139,0.1086,1.017569546,NA,#VALUE!,#VALUE!,
12/2/2021,7.5,D,7.5_D,11.6,56,5B8,1.2583,1.3434,0.0851,5B8,0.4143,0.4227,0.0084,0.0935,0.625279142,NA,#VALUE!,#VALUE!,
12/2/2021,7.5,D,7.5_D,10.1,57,5B9,1.2698,1.3343,0.0645,5B9,0.4108,0.4195,0.0087,0.0732,0.65202728,NA,#VALUE!,#VALUE!,
12/2/2021,7.5,D,7.5_D,5.3,58,5B10,1.2835,1.2913,0.0078,5B10,0.4103,0.4103,0,0.0078,0,NA,#VALUE!,#VALUE!,zero
12/2/2021,7.5,D,7.5_D,5,59,5B11,1.2604,1.2678,0.0074,5B11,0.4154,0.4156,0.0002,0.0076,0.015775359,NA,#VALUE!,#VALUE!,
12/2/2021,7.5,D,7.5_D,5.3,60,5B12,1.2715,1.2781,0.0066,5B12,0.4098,0.41,0.0002,0.0068,0.015648228,NA,#VALUE!,#VALUE!,
12/2/2021,8,D,8_D,21.1,61,5C1,1.295,1.7794,0.4844,5C1,0.4142,0.4787,0.0645,0.5489,3.624817354,NA,#VALUE!,#VALUE!,
12/2/2021,8,D,8_D,18.9,62,5C2,1.2826,1.6073,0.3247,5C2,0.4135,0.4613,0.0478,0.3725,2.973931438,NA,#VALUE!,#VALUE!,
12/2/2021,7.5,B,7.5_B,19.9,63,5C3,1.2687,1.7073,0.4386,5C3,0.4116,0.4725,0.0609,0.4995,3.56703567,NA,#VALUE!,#VALUE!,
12/2/2021,7.5,B,7.5_B,19.7,64,5C4,1.2883,1.783,0.4947,5C4,0.4073,0.4677,0.0604,0.5551,3.387549075,NA,#VALUE!,#VALUE!,
12/2/2021,7.5,B,7.5_B,11.3,65,5C5,1.273,1.361,0.088,5C5,0.4103,0.423,0.0127,0.1007,0.933137399,NA,#VALUE!,#VALUE!,
12/2/2021,7.5,B,7.5_B,13,66,5C6,1.2778,1.4138,0.136,5C6,0.4149,0.4306,0.0157,0.1517,1.110482388,NA,#VALUE!,#VALUE!,
12/2/2021,7.5,B,7.5_B,11.3,67,5C7,1.2646,1.3642,0.0996,5C7,0.4176,0.4297,0.0121,0.1117,0.88696672,NA,#VALUE!,#VALUE!,
12/2/2021,7.5,B,7.5_B,11.3,68,5C8,1.2668,1.3404,0.0736,5C8,0.4175,0.427,0.0095,0.0831,0.708743659,NA,#VALUE!,#VALUE!,
12/2/2021,7.5,B,7.5_B,5.5,69,5C9,1.2638,1.2716,0.0078,5C9,0.4164,0.4168,0.0004,0.0082,0.031456433,NA,#VALUE!,#VALUE!,
12/2/2021,7.5,B,7.5_B,5.5,70,5C10,1.2725,1.2833,0.0108,5C10,0.4146,0.4154,0.0008,0.0116,0.062339282,NA,#VALUE!,#VALUE!,
12/2/2021,7.5,B,7.5_B,5.5,71,5C11,1.2659,1.276,0.0101,5C11,0.4123,0.4133,0.001,0.0111,0.078369906,NA,#VALUE!,#VALUE!,
12/2/2021,7.5,B,7.5_B,16.8,72,5C12,1.2658,1.532,0.2662,5C12,0.4156,0.4485,0.0329,0.2991,2.147519582,NA,#VALUE!,#VALUE!,
12/2/2021,8,D,8_D,18.5,73,6A1,1.2778,1.6297,0.3519,6A1,0.4155,0.4676,0.0521,0.404,3.196907406,NA,#VALUE!,#VALUE!,
12/2/2021,8,D,8_D,14.3,74,6A2,1.2699,1.4152,0.1453,6A2,0.4138,0.4347,0.0209,0.1662,1.476823064,NA,#VALUE!,#VALUE!,
12/2/2021,8,D,8_D,13.3,75,6A3,1.2744,1.4201,0.1457,6A3,0.4147,0.4322,0.0175,0.1632,1.232307584,NA,#VALUE!,#VALUE!,
12/2/2021,8,D,8_D,11.2,76,6A4,1.2704,1.3673,0.0969,6A4,0.4168,0.4289,0.0121,0.109,0.884955752,NA,#VALUE!,#VALUE!,
12/2/2021,8,D,8_D,11.1,77,6A5,1.2777,1.3625,0.0848,6A5,0.4109,0.4192,0.0083,0.0931,0.609174312,NA,#VALUE!,#VALUE!,
12/2/2021,8,D,8_D,5.7,78,6A6,1.2901,1.2853,-0.0048,6A6,0.4119,0.4129,0.001,-0.0038,0.077802848,NA,#VALUE!,#VALUE!,negative
12/2/2021,8,D,8_D,5.9,79,6A7,1.2689,1.2836,0.0147,6A7,0.415,0.4164,0.0014,0.0161,0.109068246,NA,#VALUE!,#VALUE!,
12/2/2021,8,D,8_D,6.7,80,6A8,1.2804,1.2873,0.0069,6A8,0.4131,0.4139,0.0008,0.0077,0.062145576,NA,#VALUE!,#VALUE!,
